model_name,domain,ndcg@5,ndcg@10,recall@1,recall@5,recall@10,num_eval_queries,num_queries,num_corpus_scored,path
c_hn_1k_final,energy,0.13442778675319397,0.15370239987318188,0.058926438404497766,0.1512067466724192,0.21055069781880367,1848,1848,2225,/data/home/jeffrey/Projects-dev/AutoRAG-Research/experiments/vidorev3_colflor/results/c_hn_1k_final/energy.json
c_hn_1k_final,finance_en,0.12607502942212145,0.1425487582853442,0.05725249364510643,0.12615292841385445,0.1741259922090674,1854,1854,2942,/data/home/jeffrey/Projects-dev/AutoRAG-Research/experiments/vidorev3_colflor/results/c_hn_1k_final/finance_en.json
c_hn_1k_final,finance_fr,0.07358388561588178,0.08841558029762822,0.026579744724525758,0.08160999264991164,0.12205122945881987,1920,1920,2384,/data/home/jeffrey/Projects-dev/AutoRAG-Research/experiments/vidorev3_colflor/results/c_hn_1k_final/finance_fr.json
c_hn_1k_final,hr,0.09070028200100852,0.1026051284271958,0.03739362672176118,0.08684229295096554,0.12662793681824147,1908,1908,1110,/data/home/jeffrey/Projects-dev/AutoRAG-Research/experiments/vidorev3_colflor/results/c_hn_1k_final/hr.json
c_hn_1k_final,industrial,0.0676727435818536,0.07268342984247518,0.03404483853093474,0.06567722422720705,0.08431111502893628,1698,1698,5244,/data/home/jeffrey/Projects-dev/AutoRAG-Research/experiments/vidorev3_colflor/results/c_hn_1k_final/industrial.json
c_hn_1k_final,pharmaceuticals,0.1380714301541905,0.14966083999520993,0.06666694381143452,0.139419434354892,0.17920640407862376,2184,2184,2313,/data/home/jeffrey/Projects-dev/AutoRAG-Research/experiments/vidorev3_colflor/results/c_hn_1k_final/pharmaceuticals.json
c_hn_1k_final,physics,0.11978500157793037,0.133965648210909,0.03573781364542017,0.10620113104821546,0.15537775213770608,1812,1812,1674,/data/home/jeffrey/Projects-dev/AutoRAG-Research/experiments/vidorev3_colflor/results/c_hn_1k_final/physics.json
c_mp_only_best,computer_science,0.16260026565692814,0.18143564009656038,0.0578195039241552,0.15690863615282225,0.217214009074474,1290,1290,1360,/data/home/jeffrey/Projects-dev/AutoRAG-Research/experiments/vidorev3_colflor/results/c_mp_only_best/computer_science.json
c_mp_only_best,energy,0.12209258654537233,0.14188503767191604,0.05270969462952419,0.13910585112508142,0.19734168800818372,1848,1848,2225,/data/home/jeffrey/Projects-dev/AutoRAG-Research/experiments/vidorev3_colflor/results/c_mp_only_best/energy.json
c_mp_only_best,finance_en,0.1079019650295623,0.12657942533993757,0.047936175669450916,0.10531760969185197,0.15900362498526932,1854,1854,2942,/data/home/jeffrey/Projects-dev/AutoRAG-Research/experiments/vidorev3_colflor/results/c_mp_only_best/finance_en.json
c_mp_only_best,finance_fr,0.06503262449575184,0.08068058854489134,0.025636874699374725,0.07239013051078472,0.11406608507638581,1920,1920,2384,/data/home/jeffrey/Projects-dev/AutoRAG-Research/experiments/vidorev3_colflor/results/c_mp_only_best/finance_fr.json
c_mp_only_best,hr,0.08688650801617682,0.0970523576777091,0.03276868275395743,0.08554041569709654,0.12152739793509254,1908,1908,1110,/data/home/jeffrey/Projects-dev/AutoRAG-Research/experiments/vidorev3_colflor/results/c_mp_only_best/hr.json
c_mp_only_best,industrial,0.07863856363021839,0.08643838654175184,0.036115295678016565,0.0762427038105849,0.10440824189796191,1698,1698,5244,/data/home/jeffrey/Projects-dev/AutoRAG-Research/experiments/vidorev3_colflor/results/c_mp_only_best/industrial.json
c_mp_only_best,pharmaceuticals,0.14845723558420462,0.16177036534512623,0.07221700889305262,0.1464474164131746,0.19299813091396062,2184,2184,2313,/data/home/jeffrey/Projects-dev/AutoRAG-Research/experiments/vidorev3_colflor/results/c_mp_only_best/pharmaceuticals.json
c_mp_only_best,physics,0.10908747105995695,0.1239744404701627,0.032535958433415224,0.0976289454588612,0.14456320922757948,1812,1812,1674,/data/home/jeffrey/Projects-dev/AutoRAG-Research/experiments/vidorev3_colflor/results/c_mp_only_best/physics.json
